Label,mean_test_score,rank_test_score,param_C,param_degree,param_kernel,mean_fit_time
Strict Three,0.6902412280701754,16,0.5,3,linear,0.9367908000946045
Strict Three,0.4203947368421052,50,0.5,3,poly,1.3630436420440675
Strict Three,0.6293421052631578,34,0.5,3,rbf,1.9230319023132325
Strict Three,0.6902412280701754,16,0.5,4,linear,0.9804853439331055
Strict Three,0.4435526315789474,47,0.5,4,poly,1.4030570983886719
Strict Three,0.6293421052631578,34,0.5,4,rbf,1.864425277709961
Strict Three,0.6902412280701754,16,1.0,2,linear,0.786312198638916
Strict Three,0.49741228070175436,41,1.0,2,poly,1.338084840774536
Strict Three,0.6942543859649122,13,1.0,2,rbf,1.8227645397186278
Strict Three,0.6902412280701754,16,1.0,3,linear,0.8894891262054443
Strict Three,0.4139912280701755,53,1.0,3,poly,1.238421869277954
Strict Three,0.6942543859649122,13,1.0,3,rbf,1.6893144607543946
Strict Three,0.6902412280701754,16,1.0,4,linear,1.0711964130401612
Strict Three,0.40567982456140345,54,1.0,4,poly,1.4421396732330323
Strict Three,0.6942543859649122,13,1.0,4,rbf,1.8736305236816406
Strict Three,0.6902412280701754,16,1.5,2,linear,1.0158817768096924
Strict Three,0.5329605263157895,39,1.5,2,poly,1.1128660678863525
Strict Three,0.7109649122807017,10,1.5,2,rbf,1.6637489795684814
Strict Three,0.6902412280701754,16,1.5,3,linear,0.7907261371612548
Strict Three,0.4431578947368421,48,1.5,3,poly,1.28633770942688
Strict Three,0.7109649122807017,10,1.5,3,rbf,1.5460920333862305
Strict Three,0.6902412280701754,16,1.5,4,linear,0.9502941608428955
Strict Three,0.41609649122807013,52,1.5,4,poly,1.3738319873809814
Strict Three,0.7109649122807017,10,1.5,4,rbf,1.8038477897644043
Strict Three,0.6902412280701754,16,2.0,2,linear,1.0226262569427491
Strict Three,0.5309429824561404,40,2.0,2,poly,1.1796487331390382
Strict Three,0.7172587719298246,7,2.0,2,rbf,1.6311023235321045
Strict Three,0.6902412280701754,16,2.0,3,linear,0.9651533126831054
Strict Three,0.4723245614035088,44,2.0,3,poly,1.1619716167449952
Strict Three,0.7172587719298246,7,2.0,3,rbf,1.6970108509063722
Strict Three,0.6902412280701754,16,2.0,4,linear,1.0323837280273438
Strict Three,0.41817982456140346,51,2.0,4,poly,1.2723223209381103
Strict Three,0.7172587719298246,7,2.0,4,rbf,1.9267881870269776
Strict Three,0.6902412280701754,16,2.5,2,linear,0.862089729309082
Strict Three,0.5435745614035088,38,2.5,2,poly,1.287078332901001
Strict Three,0.721469298245614,4,2.5,2,rbf,1.5521799087524415
Strict Three,0.6902412280701754,16,2.5,3,linear,0.8850898742675781
Strict Three,0.47234649122807015,43,2.5,3,poly,1.1687219619750977
Strict Three,0.721469298245614,4,2.5,3,rbf,1.8888258934020996
Strict Three,0.6902412280701754,16,2.5,4,linear,1.0229080677032472
Strict Three,0.43276315789473685,49,2.5,4,poly,1.4931812286376953
Strict Three,0.721469298245614,4,2.5,4,rbf,1.465423822402954
Strict Three,0.6902412280701754,16,3.0,2,linear,0.9185842514038086
Strict Three,0.5646491228070175,37,3.0,2,poly,0.9577532768249511
Strict Three,0.7214912280701754,1,3.0,2,rbf,1.893451738357544
Strict Three,0.6902412280701754,16,3.0,3,linear,1.178330373764038
Strict Three,0.47655701754385965,42,3.0,3,poly,1.3791592121124268
Strict Three,0.7214912280701754,1,3.0,3,rbf,1.5235894203186036
Strict Three,0.6902412280701754,16,3.0,4,linear,0.9032063484191895
Strict Three,0.45776315789473676,45,3.0,4,poly,1.1846427917480469
Strict Three,0.7214912280701754,1,3.0,4,rbf,0.976494836807251
Two,0.5963302752293578,1,0.5,2,linear,2.7993046760559084
Two,0.5504587155963303,40,0.5,2,poly,3.9732853412628173
Two,0.5431192660550459,44,0.5,2,rbf,4.914638185501099
Two,0.5963302752293578,1,0.5,3,linear,2.787485361099243
Two,0.5284403669724771,52,0.5,3,poly,3.764966106414795
Two,0.5431192660550459,44,0.5,3,rbf,4.621497869491577
Two,0.5963302752293578,1,0.5,4,linear,2.582987594604492
Two,0.526605504587156,53,0.5,4,poly,4.129146480560303
Two,0.5431192660550459,44,0.5,4,rbf,4.041714668273926
